model,engine,concurrency,mixed_length,throughput_mean,throughput_std,throughput_ci95
awq,vllm,1,True,79.51466255462036,2.3813871411840086,5.916171063652415
awq,vllm,2,True,177.43441748068497,55.27710242695908,137.32701760467626
awq,vllm,4,True,387.5919780759118,11.687324415805087,29.03526659925039
awq,vllm,8,True,596.3692147760407,16.370610341360997,40.670132764610095
awq,vllm,16,True,755.7314426183528,21.886488567982255,54.37343979546198
awq,vllm,1,True,114.5202830305418,3.871672891361626,9.618544894137916
awq,vllm,2,True,209.73200510713468,11.711924158423932,29.0963806797533
awq,vllm,4,True,381.13099233661313,11.953589447953242,29.696758992156393
awq,vllm,8,True,563.9428977144772,43.717106064675654,108.60807695378112
awq,vllm,16,True,667.7060225025413,31.008107095448285,77.03462522499244
