model,engine,concurrency,mixed_length,throughput_mean,throughput_std,throughput_ci95
awq,vllm,1,True,107.3097231781516,15.604757471558592,38.76749521820619
awq,vllm,2,True,187.41452531999084,27.517592788552815,68.3630071656741
awq,vllm,4,True,349.9208106146054,29.295767106572377,72.7805935649887
awq,vllm,8,True,556.3775280825366,24.428733913863024,60.68923704316479
awq,vllm,16,True,635.6880215239222,35.01796513573968,86.99646876443938
awq,vllm,1,True,106.88675353288211,6.659286844308855,16.543920747498916
awq,vllm,2,True,176.4054858376949,5.305196449367714,13.179902241823514
awq,vllm,4,True,334.96736026612984,32.79546907746281,81.47503688901499
awq,vllm,8,True,516.1810200984545,18.058550394285025,44.86354673144794
awq,vllm,16,True,630.7084389297545,20.513727351302673,50.96303665396098
